Date converted to UTC, log/notebook entry times converted to UTC,aa index (using UTC converted times),Mag Lat,Mag Lon,
1879-06-25,,,43.30,297.71,
1879-06-26,,,43.30,297.71,
1879-06-27,,,43.07,297.68,
1879-06-28,,,42.97,297.68,
1879-06-29,,,42.97,297.68,
1879-06-30,,,42.97,297.68,
1879-07-01,,,42.97,297.68,
1879-07-02,,,42.97,297.68,
1879-07-03,,,42.97,297.68,
1879-07-04,,,42.97,297.68,
1879-07-05,,,42.97,297.68,
1879-07-06,,,42.97,297.68,
1879-07-07,,,42.97,297.68,
1879-07-08,,,42.97,297.68,
1879-07-09,,,43.14,296.79,
1879-07-10,,,41.87,294.55,
1879-07-11,,,40.85,293.00,
1879-07-12,,,40.57,291.31,
1879-07-13,,,41.27,288.96,
1879-07-14,,,42.52,286.72,
1879-07-15,,,42.75,285.58,
1879-07-16,,,43.22,284.57,
1879-07-17,,,44.37,283.17,
1879-07-18,,,45.48,280.95,
1879-07-19,,,46.19,278.99,
1879-07-20,,,46.63,277.36,
1879-07-21,,,47.03,274.93,
1879-07-22,,,47.51,272.48,
1879-07-23,,,48.00,270.05,
1879-07-24,,,48.46,267.56,
1879-07-25,,,48.40,265.13,
1879-07-26,,,49.02,262.92,
1879-07-27,,,49.77,260.87,
1879-07-28,,,50.45,259.53,
1879-07-29,,,51.26,258.32,
1879-07-30,,,51.44,256.56,
1879-07-31,,,51.47,253.99,
1879-08-01,,,51.34,251.71,
1879-08-02,,,51.37,250.72,
1879-08-03,,,51.41,250.35,
1879-08-04,,,51.26,250.15,
1879-08-05,,,51.26,250.15,
1879-08-06,,,51.46,250.07,
1879-08-07,,,52.39,249.41,
1879-08-08,,,54.54,247.73,
1879-08-09,,,56.94,245.99,
1879-08-10,,,58.50,244.85,
1879-08-11,,,59.95,244.79,
1879-08-12,,,61.16,246.87,
1879-08-13,,,61.46,248.46,
1879-08-14,,,61.46,248.46,
1879-08-15,,,61.46,248.46,
1879-08-16,,,61.46,248.46,
1879-08-17,,,61.46,248.46,
1879-08-18,,,61.46,248.46,
1879-08-19,,,61.46,248.46,
1879-08-20,,,61.46,248.46,
1879-08-21,,,61.46,248.46,
1879-08-22,,,61.52,247.55,
1879-08-23,,,61.65,245.31,
1879-08-24,,,61.37,243.23,
1879-08-25,,,61.70,241.32,
1879-08-26,,,62.30,240.21,
1879-08-27,,,62.39,240.06,
1879-08-28,,,62.59,240.56,
1879-08-29,,,63.30,239.99,
1879-08-30,,,63.61,239.15,
1879-08-31,,,63.54,238.07,
1879-09-01,,,64.11,236.69,
1879-09-02,14:30,11,64.96,234.87,
1879-09-03,,,65.99,233.39,
1879-09-04,,,67.09,233.01,
1879-09-05,,,67.51,232.69,
1879-09-06,,,67.57,232.30,
1879-09-07,,,67.52,232.04,
1879-09-08,,,67.72,231.80,
1879-09-09,,,67.83,231.75,
1879-09-10,,,67.81,231.62,
1879-09-11,,,67.80,231.55,
1879-09-12,,,67.88,231.37,
1879-09-13,,,67.87,231.30,
1879-09-14,,,67.86,231.23,
1879-09-15,,,67.95,231.05,
1879-09-16,,,67.95,231.05,
1879-09-17,,,67.95,231.05,
1879-09-18,,,68.07,231.06,
1879-09-19,,,68.17,230.93,
1879-09-20,,,68.17,230.93,
1879-09-21,,,68.27,230.81,
1879-09-22,11:30,2,68.34,230.55,
1879-09-23,,,68.34,230.55,
1879-09-24,13:40,7,68.35,230.62,
1879-09-25,15:00,7,68.29,230.94,
1879-09-26,09:00,19,68.45,231.21,
1879-09-27,14:00,42,68.47,231.34,
1879-09-28,,,68.47,231.34,
1879-09-29,,,68.36,231.40,
1879-09-30,,,68.35,231.33,
1879-10-01,,,68.34,231.27,
1879-10-02,,,68.21,231.20,
1879-10-03,,,68.19,231.07,
1879-10-04,,,68.16,230.87,
1879-10-05,,,68.04,230.86,
1879-10-06,,,68.01,230.66,
1879-10-07,,,67.89,230.65,
1879-10-08,,,67.87,230.59,
1879-10-09,,,67.87,230.59,
1879-10-10,,,67.89,230.65,
1879-10-11,,,67.78,230.71,
1879-10-12,12:00,5,67.74,230.51,
1879-10-13,,,67.72,230.38,
1879-10-14,,,67.69,230.18,
1879-10-15,13:00,15,67.67,230.05,
1879-10-16,,,67.64,229.85,
1879-10-17,,,67.62,229.72,
1879-10-18,,,67.59,229.52,
1879-10-19,,,67.57,229.39,
1879-10-20,,,67.54,229.19,
1879-10-21,15:00,2,67.55,229.25,
1879-10-22,,,67.70,229.47,
1879-10-23,08:30 – 11:00,11,67.75,229.80,
1879-10-24,15:00,5,67.77,229.93,
1879-10-25,,,67.87,229.74,
1879-10-26,,,67.85,229.68,
1879-10-27,,,67.83,229.55,
1879-10-28,,,67.82,229.48,
1879-10-29,,,67.92,229.36,
1879-10-30,,,67.92,229.36,
1879-10-31,,,67.82,229.48,
1879-11-01,,,67.82,229.48,
1879-11-02,14:00,2,67.82,229.48,
1879-11-03,,,67.82,229.48,
1879-11-04,,,67.82,229.48,
1879-11-05,,,67.82,229.48,
1879-11-06,,,67.82,229.48,
1879-11-07,,,67.82,229.48,
1879-11-08,,,67.83,229.55,
1879-11-09,,,67.83,229.55,
1879-11-10,,,67.83,229.55,
1879-11-11,06:00,8,67.83,229.55,
1879-11-12,12:00 – 13:00,11,67.85,229.68,
1879-11-13,"10:00 – 12:00
18:00",42,67.86,229.74,
1879-11-14,10:00,22,67.87,229.81,
1879-11-15,"08:00 – 12:00
",8,67.88,229.88,
1879-11-16,AM,11,67.89,229.94,
1879-11-17,,,67.90,230.01,
1879-11-18,11:00,18,67.99,229.82,
1879-11-19,,,67.87,229.81,
1879-11-20,,,67.84,229.61,
1879-11-21,,,67.81,229.41,
1879-11-22,"10:00 – 12:00 
PM",5,67.79,229.28,
1879-11-23,,,67.79,229.28,
1879-11-24,10:00 – 12:00 ,11,67.79,229.28,
1879-11-25,,,67.88,229.16,
1879-11-26,10:00 – 12:00 ,5,67.89,229.23,
1879-11-27,,,67.89,229.23,
1879-11-28,,,67.89,229.23,
1879-11-29,,,67.89,229.23,
1879-11-30,,,67.89,229.23,
1879-12-01,,,67.99,229.11,
1879-12-02,AM,11,68.29,228.74,
1879-12-03,11:50,2,68.39,228.61,
1879-12-04,AM,5,68.39,228.61,
1879-12-05,,,68.39,228.61,
1879-12-06,AM,7,68.38,228.55,
1879-12-07,AM,22,68.38,228.55,
1879-12-08,"AM
PM",54,68.38,228.55,
1879-12-09,,,68.38,228.55,
1879-12-10,AM,11,68.37,228.48,
1879-12-11,,,68.37,228.48,
1879-12-12,AM,19,68.37,228.48,
1879-12-13,AM,5,68.36,228.42,
1879-12-14,,,68.36,228.42,
1879-12-15,AM,7,68.36,228.42,
1879-12-16,PM,2,68.36,228.42,
1879-12-17,"AM
PM",5,68.36,228.42,
1879-12-18,PM,9,68.35,228.35,
1879-12-19,PM,5,68.26,228.54,
1879-12-20,,,68.26,228.54,
1879-12-21,,,68.27,228.61,
1879-12-22,,,68.81,228.80,
1879-12-23,"04:30
07:00
08:00
09:00
11:00
13:00
14:00
15:00",18,68.81,228.80,
1879-12-24,,,68.09,228.99,
1879-12-25,,,68.10,229.05,
1879-12-26,,,68.01,229.24,
1879-12-27,19:00,7,68.01,229.24,
1879-12-28,,,68.02,229.31,
1879-12-29,,,67.94,229.49,
1879-12-30,"15:00
16:00",2,68.03,228.37,
1879-12-31,,,68.34,229.07,
1880-01-01,11:00,5,68.45,229.01,
1880-01-02,"12:00
13:00 – 16:00",2,68.55,228.88,
1880-01-03,"11:00
13:30
14:00
16:00",2,68.55,228.88,
1880-01-04,"06:00
09:00
10:00
11:00",8,68.65,228.81,
1880-01-05,15:00,2,68.65,228.81,
1880-01-06,12:00 – 18:00,5,68.75,228.68,
1880-01-07,"05:00 – 12:00
13:00
14:00
15:00
16:00
17:00 to 20:00  ",22,68.76,228.75,
1880-01-08,"05:00
10:00
11:00
12:00-19:00",30,68.86,228.62,
1880-01-09,,,68.86,228.62,
1880-01-10,,,68.96,228.49,
1880-01-11,PM,5,68.97,228.55,
1880-01-12,13:00,8,68.87,228.68,
1880-01-13,"13:00
14:00
16:00
18:00",5,68.87,228.68,
1880-01-14,"13:00
13:30
14:00",5,68.78,228.88,
1880-01-15,"09:00
10:00
11:00
12:00
14:00
15:00
16:00
17:00",11,68.78,228.88,
1880-01-16,"10:00
11:00
12:00
13:00
14:00
14:20 ",2,68.69,229.01,
1880-01-17,"10:00
11:00
12:00
13:00
14:00
16:00
17:00",22,68.69,229.01,
1880-01-18,"13:00 
14:00
15:00         
16:00 ",30,68.60,229.20,
1880-01-19,"09:00
10:00   
11:00   
12:00",7,68.60,229.20,
1880-01-20,,,68.50,229.33,
1880-01-21,,,68.51,229.39,
1880-01-22,,,68.41,229.52,
1880-01-23,,,68.41,229.52,
1880-01-24,,,68.31,229.65,
1880-01-25,,,68.31,229.65,
1880-01-26,14:00,2,68.31,229.65,
1880-01-27,,,68.31,229.65,
1880-01-28,,,68.30,229.58,
1880-01-29,17:00,30,68.29,229.52,
1880-01-30,"06:00
07:00
13:00
14:00
",15,68.28,229.45,
1880-01-31,"07:00
12:00
13:00
",11,68.27,229.39,
1880-02-01,16:00,2,68.27,229.39,
1880-02-02,"10:00
11:00
13:00
15:00
17:00

",2,68.26,229.32,
1880-02-03,,,68.25,229.38,
1880-02-04,"06:00
07:00
09:00
10:00
14:00
16:00

",2,68.14,229.31,
1880-02-05,"10:00
12:00
13:00
14:00
15:00       
16:00
17:00 
18:00
",5,68.24,229.19,
1880-02-06,"06:00 to 09:00
10:00   
11:00   
12:00
13:00 
14:00     
15:00  
16:00      
17:00 
18:00
",19,68.13,229.25,
1880-02-07,"06:00  
07:00 
08:00
09:00   
10:00          
12:00   
13:00    
14:00      
15:00 
16:00         ",7,68.12,229.18,
1880-02-08,"07:00
08:00    
09:00
10:00         
11:00 
12:00
13:00  
14:00    
16:00   
17:00   
18:00",15,68.13,229.25,
1880-02-09,"06:00 
07:00     
08:00   
09:00
13:00   
14:00   
15:00 
16:00   
17:00 ",11,68.15,229.38,
1880-02-10,"08:00
09:00
10:00
13:00
14:00
15:00
16:00
",8,68.17,229.51,
1880-02-11,"09:00
13:00
14:00
16:00
17:00
18:00",5,68.18,229.57,
1880-02-12,"09:00
10:00  
11:00  
12:00  
13:00
14:00
",5,68.22,229.77,
1880-02-13,"06:00
07:00  
09:00
10:00  
11:00  
12:00
13:00
16:00
",5,68.23,229.84,
1880-02-14,"11:00
12:00
13:00
",5,68.25,229.97,
1880-02-15,,,68.27,230.10,
1880-02-16,"16:00
17:00
",7,68.28,230.16,
1880-02-17,"09:00 
10:00  
11:00 
12:00 
13:00
14:00
",7,68.28,230.16,
1880-02-18,,,68.19,230.35,
1880-02-19,,,68.20,230.42,
1880-02-20,"11:00
12:00
13:00
14:00
15:00
16:00
17:00
",18,68.20,230.42,
1880-02-21,"13:00   
14:00
15:00",2,68.11,230.61,
1880-02-22,"10:00
11:00
13:00
14:00

",2,68.12,230.67,
1880-02-23,"09:00
12:00
13:00",2,68.22,230.55,
1880-02-24,"10:00
12:00
13:00

",5,68.22,230.55,
1880-02-25,"13:00
",2,68.22,230.55,
1880-02-26,"13:00
14:00
15:00",5,68.22,230.55,
1880-02-27,"12:00
13:00
14:00

",5,68.22,230.55,
1880-02-28,"10:00
11:00
13:00
15:00

",5,68.22,230.55,
1880-02-29,"13:00
14:00
15:00
16:00
",11,68.22,230.55,
1880-03-01,"08:00 
09:00   
10:00   
11:00 
12:00
13:00
14:00
15:00
16:00",15,68.30,230.29,
1880-03-02,"09:00
10:00
11:00
12:00
13:00
14:00
15:00
16:00
",11,68.29,230.23,
1880-03-03,"10:00
11:00
12:00
13:00
14:00
15:00
16:00
",5,68.28,230.16,
1880-03-04,"07:00  
09:00 
10:00  
11:00  
12:00
13:00
14:00 
15:00",7,68.28,230.16,
1880-03-05,"10:00
11:00
12:00
13:00
14:00
15:00
16:00
",22,68.27,230.10,
1880-03-06,"12:00
13:00
14:00
15:00
16:00
",16,68.25,229.97,
1880-03-07,"09:00
11:00
12:00
13:00
14:00
15:00
16:00


",30,68.33,229.78,
1880-03-08,"09:00
12:00
13:00
14:00

",11,68.31,229.65,
1880-03-09,"09:00
11:00
12:00
13:00 
13:50  
14:00  
16:00 
",7,68.29,229.52,
1880-03-10,"11:00
12:00
13:00
14:00
15:00
16:00
",5,68.37,229.26,
1880-03-11,"09:00
11:00
13:00
14:00
15:00
16:00
",5,68.44,228.94,
1880-03-12,"09:00
10;00
11:00
12:00
13:00
14:00
15:00
16:00
",18,68.42,228.81,
1880-03-13,,,68.40,228.68,
1880-03-14,"09:00
11:00
12:00
13:00
14:00

",22,68.39,228.61,
1880-03-15,,,68.40,228.68,
1880-03-16,"10:00
11:00
12:00
13:00
14:00
15:00

",5,68.41,228.74,
1880-03-17,"11:00
13:00
14:00
15:00
16:00
",107,68.42,228.81,
1880-03-18,"09:00
10:00
11:00
12:00
13:00
14:00
15:00
16:00
",30,68.33,229.00,
1880-03-19,"09:00
10:00
",22,68.33,229.00,
1880-03-20,"13:00
",2,68.34,229.07,
1880-03-21,"09:00
10:00
11:00
12:00
",18,68.34,229.07,
1880-03-22,,,68.33,229.00,
1880-03-23,08:00 – 10:00,11,68.32,228.94,
1880-03-24,,,68.31,228.87,
1880-03-25,13:30,5,68.30,228.80,
1880-03-26,"12:00
13:00

",7,68.39,228.61,
1880-03-27,,,68.38,228.55,
1880-03-28,,,68.38,228.55,
1880-03-29,,,68.38,228.55,
1880-03-30,,,68.47,228.42,
1880-03-31,,,68.46,228.36,
1880-04-01,,,68.55,228.17,
1880-04-02,,,68.54,228.10,
1880-04-03,,,68.43,228.16,
1880-04-04,,,68.43,228.16,
1880-04-05,13:00,42,68.43,228.16,
1880-04-06,,,68.43,228.16,
1880-04-07,,,68.35,228.35,
1880-04-08,,,68.37,228.48,
1880-04-09,,,68.37,228.48,
1880-04-10,,,68.47,228.42,
1880-04-11,,,68.46,228.36,
1880-04-12,,,68.46,228.36,
1880-04-13,,,68.56,228.23,
1880-04-14,,,68.55,228.17,
1880-04-15,,,68.55,228.17,
1880-04-16,,,68.55,228.17,
1880-04-17,,,68.56,228.23,
1880-04-18,,,68.56,228.23,
1880-04-19,,,68.65,228.04,
1880-04-20,,,68.64,227.97,
1880-04-21,,,68.62,227.84,
1880-04-22,,,68.61,227.78,
1880-04-23,,,68.60,227.72,
1880-04-24,,,68.69,227.52,
1880-04-25,,,68.67,227.39,
1880-04-26,,,68.66,227.33,
1880-04-27,,,68.93,226.81,
1880-04-28,,,68.40,226.01,
1880-04-29,,,69.19,226.15,
1880-04-30,,,68.69,226.75,
1880-05-01,,,68.78,226.56,
1880-05-02,,,68.88,226.43,
1880-05-03,,,68.87,226.36,
1880-05-04,,,68.86,226.30,
1880-05-05,,,68.86,226.30,
1880-05-06,,,68.85,226.23,
1880-05-07,,,68.83,226.10,
1880-05-08,,,68.82,226.04,
1880-05-09,,,68.82,226.04,
1880-05-10,,,68.81,225.98,
1880-05-11,,,68.80,225.91,
1880-05-12,,,68.79,225.85,
1880-05-13,,,68.69,225.98,
1880-05-14,,,68.68,225.91,
1880-05-15,,,68.67,225.85,
1880-05-16,,,68.77,225.72,
1880-05-17,,,68.76,225.65,
1880-05-18,,,68.86,225.52,
1880-05-19,,,68.96,225.39,
1880-05-20,,,69.06,225.26,
1880-05-21,,,69.06,225.26,
1880-05-22,,,69.04,225.13,
1880-05-23,,,69.12,224.87,
1880-05-24,,,69.20,224.61,
1880-05-25,,,69.27,224.29,
1880-05-26,,,69.23,224.03,
1880-05-27,,,69.40,223.57,
1880-05-28,,,69.39,223.51,
1880-05-29,,,69.38,223.44,
1880-05-30,,,69.38,223.44,
1880-05-31,,,69.48,223.31,
1880-06-01,,,69.48,223.31,
1880-06-02,,,69.58,223.23,
1880-06-03,,,69.59,223.29,
1880-06-04,,,69.69,223.15,
1880-06-05,,,69.70,223.22,
1880-06-06,,,69.61,223.42,
1880-06-07,,,69.61,223.42,
1880-06-08,,,69.62,223.48,
1880-06-09,,,69.42,223.76,
1880-06-10,,,69.44,223.89,
1880-06-11,,,69.43,223.82,
1880-06-12,,,69.42,223.70,
1880-06-13,,,69.40,223.57,
1880-06-14,,,69.38,223.44,
1880-06-15,,,69.37,223.38,
1880-06-16,,,69.28,223.58,
1880-06-17,,,69.20,223.84,
1880-06-18,,,69.03,224.24,
1880-06-19,,,68.94,224.43,
1880-06-20,,,68.96,224.56,
1880-06-21,,,68.97,224.69,
1880-06-22,,,68.90,225.01,
1880-06-23,,,68.92,225.14,
1880-06-24,,,68.93,225.20,
1880-06-25,,,68.94,225.27,
1880-06-26,,,68.96,225.39,
1880-06-27,,,69.05,225.20,
1880-06-28,,,68.92,225.14,
1880-06-29,,,68.92,225.14,
1880-06-30,,,68.92,252.14,
1880-07-01,,,68.82,225.27,
1880-07-02,,,68.83,225.33,
1880-07-03,,,68.94,225.27,
1880-07-04,,,68.94,225.27,
1880-07-05,,,68.93,225.20,
1880-07-06,,,68.91,225.07,
1880-07-07,,,69.00,224.88,
1880-07-08,,,68.98,224.75,
1880-07-09,,,69.07,224.55,
1880-07-10,,,69.07,224.55,
1880-07-11,,,69.07,224.55,
